Using cuda device
/root/autodl-tmp/projects/sb3/stable-baselines3-master/stable_baselines3/common/on_policy_algorithm.py:150: UserWarning: You are trying to run PPO on the GPU, but it is primarily intended to run on the CPU when not using a CNN policy (you are using ActorCriticPolicy which should be a MlpPolicy). See https://github.com/DLR-RM/stable-baselines3/issues/1245 for more info. You can pass `device='cpu'` or `export CUDA_VISIBLE_DEVICES=` to force using the CPU.Note: The model will train, but the GPU utilization will be poor and the training might take longer than on CPU.
  warnings.warn(
Logging to outputs/stage1000_true_proposed_s8s9_independent_nenv32/runs/proposed_ppo_s9/tensorboard/proposed_ppo_s9_1
-----------------------------------------
| curriculum/                |          |
|    jerk                    | 0.619       |
|    lane_deviation          | 0.501       |
|    max_lane_deviation      | 0.887       |
|    mean_speed_kmh          | 0.927       |
|    min_ttc                 | nan         |
|    out_of_road             | 0           |
|    route_completion        | 0.148       |
|    shaped_reward           | -181        |
|    steering_variation      | 0.819       |
|    success                 | 0           |
|    ttc_risk                | 0           |
| rollout/                   |             |
|    ep_len_mean             | 599         |
|    ep_rew_mean             | -114        |
|    success_rate            | 0           |
| time/                      |             |
|    fps                     | 1287        |
|    iterations              | 3           |
|    time_elapsed            | 76          |
|    total_timesteps         | 98304       |
| train/                     |             |
|    approx_kl               | 0.005787018 |
|    clip_fraction           | 0.065       |
|    clip_range              | 0.2         |
|    entropy_loss            | -2.77       |
|    explained_variance      | 0.0863      |
|    learning_rate           | 0.0003      |
|    loss                    | 0.329       |
|    n_updates               | 20          |
|    policy_gradient_loss    | -0.0031     |
|    std                     | 0.965       |
|    value_loss              | 1.04        |
--------------------------------------------
--------------------------------------------
| curriculum/                |             |
|    stage                   | 0           |
|    window_cost             | 0.0667      |
|    window_route_completion | 0.177       |
|    window_success          | 0           |
| paper/                     |             |
|    accel_variation         | 0.769       |
|    base_reward             | 7.87        |
|    collision               | 0           |
|    crash_object            | 0           |
|    crash_vehicle           | 0           |
|    episode_cost            | 0           |
|    episode_length          | 600         |
|    jerk                    | 0.596       |
|    lane_deviation          | 0.437       |
|    max_lane_deviation      | 0.995       |
|    mean_speed_kmh          | 1.04        |
|    min_ttc                 | nan         |
|    out_of_road             | 0           |
|    route_completion        | 0.135       |
|    shaped_reward           | -171        |
|    steering_variation      | 0.834       |
|    success                 | 0           |
|    ttc_risk                | 0           |
| rollout/                   |             |
|    ep_len_mean             | 592         |
|    ep_rew_mean             | -123        |
|    success_rate            | 0           |
| time/                      |             |
|    fps                     | 1232        |
|    iterations              | 4           |
|    time_elapsed            | 106         |
|    total_timesteps         | 131072      |
| train/                     |             |
|    approx_kl               | 0.005455425 |
|    clip_fraction           | 0.0586      |
|    clip_range              | 0.2         |
|    entropy_loss            | -2.75       |
|    explained_variance      | 0.467       |
|    learning_rate           | 0.0003      |
|    loss                    | 0.254       |
|    n_updates               | 30          |
|    policy_gradient_loss    | -0.00171    |
|    std                     | 0.956       |
|    value_loss              | 4.45        |
--------------------------------------------
--------------------------------------------
| curriculum/                |             |
|    stage                   | 0           |
|    window_cost             | 0.0333      |
|    window_route_completion | 0.211       |
|    window_success          | 0           |
| paper/                     |             |
|    accel_variation         | 0.716       |
|    base_reward             | 18.3        |
|    collision               | 0           |
|    crash_object            | 0           |
|    crash_vehicle           | 0           |
|    episode_cost            | 0           |
|    episode_length          | 600         |
|    jerk                    | 0.582       |
|    lane_deviation          | 0.0817      |
|    max_lane_deviation      | 0.21        |
|    mean_speed_kmh          | 1.31        |
|    min_ttc                 | nan         |
|    out_of_road             | 0           |
|    route_completion        | 0.224       |
|    shaped_reward           | -68.3       |
|    steering_variation      | 0.805       |
|    success                 | 0           |
|    ttc_risk                | 0           |
| rollout/                   |             |
|    ep_len_mean             | 589         |
|    ep_rew_mean             | -146        |
|    success_rate            | 0           |
| time/                      |             |
|    fps                     | 1144        |
|    iterations              | 5           |
|    time_elapsed            | 143         |
|    total_timesteps         | 163840      |
| train/                     |             |
|    approx_kl               | 0.006083183 |
|    clip_fraction           | 0.0416      |
|    clip_range              | 0.2         |
|    entropy_loss            | -2.74       |
|    explained_variance      | 0.525       |
|    learning_rate           | 0.0003      |
|    loss                    | 1.25        |
|    n_updates               | 40          |
|    policy_gradient_loss    | -0.00108    |
|    std                     | 0.947       |
|    value_loss              | 12.7        |
--------------------------------------------
---------------------------------------------
| curriculum/                |              |
|    stage                   | 0            |
|    window_cost             | 0.267        |
|    window_route_completion | 0.224        |
|    window_success          | 0            |
| paper/                     |              |
|    accel_variation         | 0.691        |
|    base_reward             | -3.9         |
|    collision               | 0            |
|    crash_object            | 0            |
|    crash_vehicle           | 0            |
|    episode_cost            | 1            |
|    episode_length          | 258          |
|    jerk                    | 0.647        |
|    lane_deviation          | 0.229        |
|    max_lane_deviation      | 1.04         |
|    mean_speed_kmh          | 1.5          |
|    min_ttc                 | nan          |
|    out_of_road             | 1            |
|    route_completion        | 0.125        |
|    shaped_reward           | -176         |
|    steering_variation      | 0.769        |
|    success                 | 0            |
|    ttc_risk                | 0            |
| rollout/                   |              |
|    ep_len_mean             | 581          |
|    ep_rew_mean             | -155         |
|    success_rate            | 0            |
| time/                      |              |
|    fps                     | 1075         |
|    iterations              | 6            |
|    time_elapsed            | 182          |
|    total_timesteps         | 196608       |
| train/                     |              |
|    approx_kl               | 0.0049437555 |
|    clip_fraction           | 0.0385       |
|    clip_range              | 0.2          |
|    entropy_loss            | -2.72        |
|    explained_variance      | 0.785        |
|    learning_rate           | 0.0003       |
|    loss                    | 2.32         |
|    n_updates               | 50           |
|    policy_gradient_loss    | -0.00133     |
|    std                     | 0.943        |
|    value_loss              | 11           |
---------------------------------------------
---------------------------------------------
| curriculum/                |              |
|    stage                   | 0            |
|    window_cost             | 0.533        |
|    window_route_completion | 0.238        |
|    window_success          | 0            |
| paper/                     |              |
|    accel_variation         | 0.656        |
|    base_reward             | 19.9         |
|    collision               | 0            |
|    crash_object            | 0            |
|    crash_vehicle           | 0            |
|    episode_cost            | 0            |
|    episode_length          | 600          |
|    jerk                    | 0.523        |
|    lane_deviation          | 0.367        |
|    max_lane_deviation      | 0.999        |
|    mean_speed_kmh          | 2.04         |
|    min_ttc                 | nan          |
|    out_of_road             | 0            |
|    route_completion        | 0.351        |
|    shaped_reward           | -110         |
|    steering_variation      | 0.783        |
|    success                 | 0            |
|    ttc_risk                | 0            |
| rollout/                   |              |
|    ep_len_mean             | 490          |
|    ep_rew_mean             | -169         |
|    success_rate            | 0            |
| time/                      |              |
|    fps                     | 971          |
|    iterations              | 7            |
|    time_elapsed            | 235          |
|    total_timesteps         | 229376       |
| train/                     |              |
|    approx_kl               | 0.0050221314 |
|    clip_fraction           | 0.0579       |
|    clip_range              | 0.2          |
|    entropy_loss            | -2.71        |
|    explained_variance      | 0.752        |
|    learning_rate           | 0.0003       |
|    loss                    | 4.53         |
|    n_updates               | 60           |
|    policy_gradient_loss    | -0.00192     |
|    std                     | 0.936        |
|    value_loss              | 25.9         |
---------------------------------------------
--------------------------------------------
| curriculum/                |             |
|    stage                   | 0           |
|    window_cost             | 0.1         |
|    window_route_completion | 0.311       |
|    window_success          | 0           |
| paper/                     |             |
|    accel_variation         | 0.63        |
|    base_reward             | 13.4        |
|    collision               | 0           |
|    crash_object            | 0           |
|    crash_vehicle           | 0           |
|    episode_cost            | 0           |
|    episode_length          | 600         |
|    jerk                    | 0.54        |
|    lane_deviation          | 0.619       |
|    max_lane_deviation      | 0.999       |
|    mean_speed_kmh          | 2.06        |
|    min_ttc                 | nan         |
|    out_of_road             | 0           |
|    route_completion        | 0.286       |
|    shaped_reward           | -179        |
|    steering_variation      | 0.748       |
|    success                 | 0           |
|    ttc_risk                | 0           |
| rollout/                   |             |
|    ep_len_mean             | 528         |
|    ep_rew_mean             | -152        |
|    success_rate            | 0           |
| time/                      |             |
|    fps                     | 905         |
|    iterations              | 8           |
|    time_elapsed            | 289         |
|    total_timesteps         | 262144      |
| train/                     |             |
|    approx_kl               | 0.004667864 |
|    clip_fraction           | 0.0567      |
|    clip_range              | 0.2         |
|    entropy_loss            | -2.71       |
|    explained_variance      | 0.763       |
|    learning_rate           | 0.0003      |
|    loss                    | 25.5        |
|    n_updates               | 70          |
|    policy_gradient_loss    | -0.00458    |
|    std                     | 0.943       |
|    value_loss              | 51.7        |
--------------------------------------------
---------------------------------------------
| curriculum/                |              |
|    stage                   | 0            |
|    window_cost             | 0.0667       |
|    window_route_completion | 0.413        |
|    window_success          | 0            |
| paper/                     |              |
|    accel_variation         | 0.624        |
|    base_reward             | 35           |
|    collision               | 0            |
|    crash_object            | 0            |
|    crash_vehicle           | 0            |
|    episode_cost            | 0            |
|    episode_length          | 600          |
|    jerk                    | 0.497        |
|    lane_deviation          | 0.279        |
|    max_lane_deviation      | 0.65         |
|    mean_speed_kmh          | 2.96         |
|    min_ttc                 | nan          |
|    out_of_road             | 0            |
|    route_completion        | 0.503        |
|    shaped_reward           | -52          |
|    steering_variation      | 0.849        |
|    success                 | 0            |
|    ttc_risk                | 0            |
| rollout/                   |              |
|    ep_len_mean             | 577          |
|    ep_rew_mean             | -127         |
|    success_rate            | 0            |
| time/                      |              |
|    fps                     | 871          |
|    iterations              | 9            |
|    time_elapsed            | 338          |
|    total_timesteps         | 294912       |
| train/                     |              |
|    approx_kl               | 0.0067519452 |
|    clip_fraction           | 0.0889       |
|    clip_range              | 0.2          |
|    entropy_loss            | -2.7         |
|    explained_variance      | 0.913        |
|    learning_rate           | 0.0003       |
|    loss                    | 8.76         |
|    n_updates               | 80           |
|    policy_gradient_loss    | -0.00284     |
|    std                     | 0.931        |
|    value_loss              | 18.4         |
---------------------------------------------
--------------------------------------------
| curriculum/                |             |
|    stage                   | 0           |
|    window_cost             | 0.0333      |
|    window_route_completion | 0.47        |
|    window_success          | 0           |
| paper/                     |             |
|    accel_variation         | 0.559       |
|    base_reward             | 29.9        |
|    collision               | 0           |
|    crash_object            | 0           |
|    crash_vehicle           | 0           |
|    episode_cost            | 0           |
|    episode_length          | 600         |
|    jerk                    | 0.476       |
|    lane_deviation          | 0.483       |
|    max_lane_deviation      | 0.886       |
|    mean_speed_kmh          | 3.06        |
|    min_ttc                 | nan         |
|    out_of_road             | 0           |
|    route_completion        | 0.492       |
|    shaped_reward           | -103        |
|    steering_variation      | 0.817       |
|    success                 | 0           |
|    ttc_risk                | 0           |
| rollout/                   |             |
|    ep_len_mean             | 591         |
|    ep_rew_mean             | -98.9       |
|    success_rate            | 0           |
| time/                      |             |
|    fps                     | 873         |
|    iterations              | 10          |
|    time_elapsed            | 375         |
|    total_timesteps         | 327680      |
| train/                     |             |
|    approx_kl               | 0.008111942 |
|    clip_fraction           | 0.0967      |
|    clip_range              | 0.2         |
|    entropy_loss            | -2.67       |
|    explained_variance      | 0.88        |
|    learning_rate           | 0.0003      |
|    loss                    | 9.98        |
|    n_updates               | 90          |
|    policy_gradient_loss    | -0.00541    |
|    std                     | 0.913       |
|    value_loss              | 18.6        |
--------------------------------------------
--------------------------------------------
| curriculum/                |             |
|    stage                   | 0           |
|    window_cost             | 0.0667      |
|    window_route_completion | 0.564       |
|    window_success          | 0           |
| paper/                     |             |
|    accel_variation         | 0.501       |
|    base_reward             | 56.2        |
|    collision               | 0           |
|    crash_object            | 0           |
|    crash_vehicle           | 0           |
|    episode_cost            | 0           |
|    episode_length          | 600         |
|    jerk                    | 0.417       |
|    lane_deviation          | 0.12        |
|    max_lane_deviation      | 0.465       |
|    mean_speed_kmh          | 3.88        |
|    min_ttc                 | nan         |
|    out_of_road             | 0           |
|    route_completion        | 0.538       |
|    shaped_reward           | 3.41        |
|    steering_variation      | 0.816       |
|    success                 | 0           |
|    ttc_risk                | 0           |
| rollout/                   |             |
|    ep_len_mean             | 588         |
|    ep_rew_mean             | -66.1       |
|    success_rate            | 0           |
| time/                      |             |
|    fps                     | 855         |
|    iterations              | 11          |
|    time_elapsed            | 421         |
|    total_timesteps         | 360448      |
| train/                     |             |
|    approx_kl               | 0.014173759 |
|    clip_fraction           | 0.174       |
|    clip_range              | 0.2         |
|    entropy_loss            | -2.59       |
|    explained_variance      | 0.841       |
|    learning_rate           | 0.0003      |
|    loss                    | 9.07        |
|    n_updates               | 100         |
|    policy_gradient_loss    | -0.00586    |
|    std                     | 0.879       |
|    value_loss              | 12.4        |
--------------------------------------------
--------------------------------------------
| curriculum/                |             |
|    stage                   | 1           |
|    window_cost             | 0.0333      |
|    window_route_completion | 0.653       |
|    window_success          | 0.0333      |
| paper/                     |             |
|    accel_variation         | 0.48        |
|    base_reward             | 66.1        |
|    collision               | 0           |
|    crash_object            | 0           |
|    crash_vehicle           | 0           |
|    episode_cost            | 0           |
|    episode_length          | 800         |
|    jerk                    | 0.43        |
|    lane_deviation          | 0.427       |
|    max_lane_deviation      | 0.961       |
|    mean_speed_kmh          | 4.86        |
|    min_ttc                 | nan         |
|    out_of_road             | 0           |
|    route_completion        | 0.919       |
|    shaped_reward           | -56.5       |
|    steering_variation      | 0.764       |
|    success                 | 0           |
|    ttc_risk                | 0           |
| rollout/                   |             |
|    ep_len_mean             | 611         |
|    ep_rew_mean             | -37         |
|    success_rate            | 0.14        |
| time/                      |             |
|    fps                     | 832         |
|    iterations              | 12          |
|    time_elapsed            | 472         |
|    total_timesteps         | 393216      |
| train/                     |             |
|    approx_kl               | 0.015655048 |
|    clip_fraction           | 0.217       |
|    clip_range              | 0.2         |
|    entropy_loss            | -2.53       |
|    explained_variance      | 0.783       |
|    learning_rate           | 0.0003      |
|    loss                    | 5.22        |
|    n_updates               | 110         |
|    policy_gradient_loss    | -0.00333    |
|    std                     | 0.848       |
|    value_loss              | 16.1        |
--------------------------------------------
--------------------------------------------
| curriculum/                |             |
|    stage                   | 2           |
|    window_cost             | 0.3         |
|    window_route_completion | 0.408       |
|    window_success          | 0.0667      |
| paper/                     |             |
|    accel_variation         | 0.454       |
|    base_reward             | 161         |
|    collision               | 0           |
|    crash_object            | 0           |
|    crash_vehicle           | 0           |
|    episode_cost            | 0           |
|    episode_length          | 1000        |
|    jerk                    | 0.362       |
|    lane_deviation          | 0.273       |
|    max_lane_deviation      | 0.999       |
|    mean_speed_kmh          | 7.94        |
|    min_ttc                 | nan         |
|    out_of_road             | 0           |
|    route_completion        | 0.565       |
|    shaped_reward           | 11.4        |
|    steering_variation      | 0.68        |
|    success                 | 0           |
|    ttc_risk                | 0           |
| rollout/                   |             |
|    ep_len_mean             | 691         |
|    ep_rew_mean             | -29.9       |
|    success_rate            | 0.22        |
| time/                      |             |
|    fps                     | 778         |
|    iterations              | 13          |
|    time_elapsed            | 547         |
|    total_timesteps         | 425984      |
| train/                     |             |
|    approx_kl               | 0.030914854 |
|    clip_fraction           | 0.245       |
|    clip_range              | 0.2         |
|    entropy_loss            | -2.45       |
|    explained_variance      | 0.334       |
|    learning_rate           | 0.0003      |
|    loss                    | 12          |
|    n_updates               | 120         |
|    policy_gradient_loss    | 0.0056      |
|    std                     | 0.812       |
|    value_loss              | 30.9        |
--------------------------------------------
--------------------------------------------
| curriculum/                |             |
|    stage                   | 2           |
|    window_cost             | 0.3         |
|    window_route_completion | 0.308       |
|    window_success          | 0           |
| paper/                     |             |
|    accel_variation         | 0.415       |
|    base_reward             | 165         |
|    collision               | 0           |
|    crash_object            | 0           |
|    crash_vehicle           | 0           |
|    episode_cost            | 0           |
|    episode_length          | 1000        |
|    jerk                    | 0.352       |
|    lane_deviation          | 0.304       |
|    max_lane_deviation      | 0.994       |
|    mean_speed_kmh          | 8.78        |
|    min_ttc                 | 2.26        |
|    out_of_road             | 0           |
|    route_completion        | 0.305       |
|    shaped_reward           | -9.37       |
|    steering_variation      | 0.642       |
|    success                 | 0           |
|    ttc_risk                | 0.00101     |
| rollout/                   |             |
|    ep_len_mean             | 782         |
|    ep_rew_mean             | -56.6       |
|    success_rate            | 0.17        |
| time/                      |             |
|    fps                     | 718         |
|    iterations              | 14          |
|    time_elapsed            | 638         |
|    total_timesteps         | 458752      |
| train/                     |             |
|    approx_kl               | 0.015567716 |
|    clip_fraction           | 0.186       |
|    clip_range              | 0.2         |
|    entropy_loss            | -2.38       |
|    explained_variance      | 0.229       |
|    learning_rate           | 0.0003      |
|    loss                    | 28.2        |
|    n_updates               | 130         |
|    policy_gradient_loss    | -0.0034     |
|    std                     | 0.789       |
|    value_loss              | 43.7        |
--------------------------------------------
--------------------------------------------
| curriculum/                |             |
|    stage                   | 2           |
|    window_cost             | 0.1         |
|    window_route_completion | 0.37        |
|    window_success          | 0           |
| paper/                     |             |
|    accel_variation         | 0.416       |
|    base_reward             | 204         |
|    collision               | 0           |
|    crash_object            | 0           |
|    crash_vehicle           | 0           |
|    episode_cost            | 0           |
|    episode_length          | 1000        |
|    jerk                    | 0.342       |
|    lane_deviation          | 0.248       |
|    max_lane_deviation      | 0.99        |
|    mean_speed_kmh          | 9.94        |
|    min_ttc                 | 12.5        |
|    out_of_road             | 0           |
|    route_completion        | 0.481       |
|    shaped_reward           | 45.4        |
|    steering_variation      | 0.654       |
|    success                 | 0           |
|    ttc_risk                | 0           |
| rollout/                   |             |
|    ep_len_mean             | 844         |
|    ep_rew_mean             | -73.8       |
|    success_rate            | 0           |
| time/                      |             |
|    fps                     | 680         |
|    iterations              | 15          |
|    time_elapsed            | 721         |
|    total_timesteps         | 491520      |
| train/                     |             |
|    approx_kl               | 0.017371334 |
|    clip_fraction           | 0.182       |
|    clip_range              | 0.2         |
|    entropy_loss            | -2.33       |
|    explained_variance      | 0.502       |
|    learning_rate           | 0.0003      |
|    loss                    | 11.8        |
|    n_updates               | 140         |
|    policy_gradient_loss    | -0.00143    |
|    std                     | 0.771       |
|    value_loss              | 43.2        |
--------------------------------------------
--------------------------------------------
| curriculum/                |             |
|    stage                   | 2           |
|    window_cost             | 0.0667      |
|    window_route_completion | 0.454       |
|    window_success          | 0           |
| paper/                     |             |
|    accel_variation         | 0.404       |
|    base_reward             | 198         |
|    collision               | 0           |
|    crash_object            | 0           |
|    crash_vehicle           | 0           |
|    episode_cost            | 0           |
|    episode_length          | 1000        |
|    jerk                    | 0.344       |
|    lane_deviation          | 0.201       |
|    max_lane_deviation      | 0.853       |
|    mean_speed_kmh          | 8.73        |
|    min_ttc                 | 26.6        |
|    out_of_road             | 0           |
|    route_completion        | 0.359       |
|    shaped_reward           | 59          |
|    steering_variation      | 0.685       |
|    success                 | 0           |
|    ttc_risk                | 0           |
| rollout/                   |             |
|    ep_len_mean             | 893         |
|    ep_rew_mean             | -58.7       |
|    success_rate            | 0           |
| time/                      |             |
|    fps                     | 655         |
|    iterations              | 16          |
|    time_elapsed            | 799         |
|    total_timesteps         | 524288      |
| train/                     |             |
|    approx_kl               | 0.021164808 |
|    clip_fraction           | 0.202       |
|    clip_range              | 0.2         |
|    entropy_loss            | -2.28       |
|    explained_variance      | 0.748       |
|    learning_rate           | 0.0003      |
|    loss                    | 31          |
|    n_updates               | 150         |
|    policy_gradient_loss    | 0.00389     |
|    std                     | 0.754       |
|    value_loss              | 22.2        |
--------------------------------------------
--------------------------------------------
| curriculum/                |             |
|    stage                   | 2           |
|    window_cost             | 0.0333      |
|    window_route_completion | 0.527       |
|    window_success          | 0           |
| paper/                     |             |
|    accel_variation         | 0.341       |
|    base_reward             | 232         |
|    collision               | 0           |
|    crash_object            | 0           |
|    crash_vehicle           | 0           |
|    episode_cost            | 0           |
|    episode_length          | 1000        |
|    jerk                    | 0.317       |
|    lane_deviation          | 0.284       |
|    max_lane_deviation      | 1.29        |
|    mean_speed_kmh          | 11.8        |
|    min_ttc                 | 9.69        |
|    out_of_road             | 0           |
|    route_completion        | 0.432       |
|    shaped_reward           | 44.8        |
|    steering_variation      | 0.633       |
|    success                 | 0           |
|    ttc_risk                | 0           |
| rollout/                   |             |
|    ep_len_mean             | 957         |
|    ep_rew_mean             | -21.5       |
|    success_rate            | 0           |
| time/                      |             |
|    fps                     | 630         |
|    iterations              | 17          |
|    time_elapsed            | 883         |
|    total_timesteps         | 557056      |
| train/                     |             |
|    approx_kl               | 0.012992878 |
|    clip_fraction           | 0.238       |
|    clip_range              | 0.2         |
|    entropy_loss            | -2.22       |
|    explained_variance      | 0.595       |
|    learning_rate           | 0.0003      |
|    loss                    | 18.4        |
|    n_updates               | 160         |
|    policy_gradient_loss    | 0.00568     |
|    std                     | 0.726       |
|    value_loss              | 12.7        |
--------------------------------------------
--------------------------------------------
| curriculum/                |             |
|    stage                   | 2           |
|    window_cost             | 0.0333      |
|    window_route_completion | 0.594       |
|    window_success          | 0           |
| paper/                     |             |
|    accel_variation         | 0.385       |
|    base_reward             | 269         |
|    collision               | 0           |
|    crash_object            | 0           |
|    crash_vehicle           | 0           |
|    episode_cost            | 0           |
|    episode_length          | 1000        |
|    jerk                    | 0.331       |
|    lane_deviation          | 0.227       |
|    max_lane_deviation      | 0.992       |
|    mean_speed_kmh          | 12.8        |
|    min_ttc                 | nan         |
|    out_of_road             | 0           |
|    route_completion        | 0.54        |
|    shaped_reward           | 87.4        |
|    steering_variation      | 0.641       |
|    success                 | 0           |
|    ttc_risk                | 0           |
| rollout/                   |             |
|    ep_len_mean             | 982         |
|    ep_rew_mean             | 14.8        |
|    success_rate            | 0           |
| time/                      |             |
|    fps                     | 609         |
|    iterations              | 18          |
|    time_elapsed            | 967         |
|    total_timesteps         | 589824      |
| train/                     |             |
|    approx_kl               | 0.016207922 |
|    clip_fraction           | 0.219       |
|    clip_range              | 0.2         |
|    entropy_loss            | -2.13       |
|    explained_variance      | 0.564       |
|    learning_rate           | 0.0003      |
|    loss                    | 3.74        |
|    n_updates               | 170         |
|    policy_gradient_loss    | -0.000287   |
|    std                     | 0.697       |
|    value_loss              | 9.36        |
--------------------------------------------
--------------------------------------------
| curriculum/                |             |
|    stage                   | 2           |
|    window_cost             | 0.167       |
|    window_route_completion | 0.692       |
|    window_success          | 0.0333      |
| paper/                     |             |
|    accel_variation         | 0.357       |
|    base_reward             | 303         |
|    collision               | 0           |
|    crash_object            | 0           |
|    crash_vehicle           | 0           |
|    episode_cost            | 0           |
|    episode_length          | 1000        |
|    jerk                    | 0.319       |
|    lane_deviation          | 0.294       |
|    max_lane_deviation      | 0.989       |
|    mean_speed_kmh          | 14.9        |
|    min_ttc                 | 26          |
|    out_of_road             | 0           |
|    route_completion        | 0.812       |
|    shaped_reward           | 98          |
|    steering_variation      | 0.62        |
|    success                 | 0           |
|    ttc_risk                | 0           |
| rollout/                   |             |
|    ep_len_mean             | 986         |
|    ep_rew_mean             | 42.6        |
|    success_rate            | 0.01        |
| time/                      |             |
|    fps                     | 589         |
|    iterations              | 19          |
|    time_elapsed            | 1055        |
|    total_timesteps         | 622592      |
| train/                     |             |
|    approx_kl               | 0.028179731 |
|    clip_fraction           | 0.239       |
|    clip_range              | 0.2         |
|    entropy_loss            | -2.06       |
|    explained_variance      | 0.605       |
|    learning_rate           | 0.0003      |
|    loss                    | 2.29        |
|    n_updates               | 180         |
|    policy_gradient_loss    | 0.00628     |
|    std                     | 0.671       |
|    value_loss              | 14          |
--------------------------------------------
--------------------------------------------
| curriculum/                |             |
|    stage                   | 2           |
|    window_cost             | 0.267       |
|    window_route_completion | 0.668       |
|    window_success          | 0           |
| paper/                     |             |
|    accel_variation         | 0.383       |
|    base_reward             | 356         |
|    collision               | 0           |
|    crash_object            | 0           |
|    crash_vehicle           | 0           |
|    episode_cost            | 0           |
|    episode_length          | 1000        |
|    jerk                    | 0.354       |
|    lane_deviation          | 0.252       |
|    max_lane_deviation      | 0.999       |
|    mean_speed_kmh          | 16.7        |
|    min_ttc                 | 8.43        |
|    out_of_road             | 0           |
|    route_completion        | 0.865       |
|    shaped_reward           | 144         |
|    steering_variation      | 0.591       |
|    success                 | 0           |
|    ttc_risk                | 0           |
| rollout/                   |             |
|    ep_len_mean             | 919         |
|    ep_rew_mean             | 42.4        |
|    success_rate            | 0.01        |
| time/                      |             |
|    fps                     | 568         |
|    iterations              | 20          |
|    time_elapsed            | 1151        |
|    total_timesteps         | 655360      |
| train/                     |             |
|    approx_kl               | 0.022846378 |
|    clip_fraction           | 0.212       |
|    clip_range              | 0.2         |
|    entropy_loss            | -2.01       |
|    explained_variance      | 0.363       |
|    learning_rate           | 0.0003      |
|    loss                    | 5.59        |
|    n_updates               | 190         |
|    policy_gradient_loss    | 0.00612     |
|    std                     | 0.654       |
|    value_loss              | 32.7        |
--------------------------------------------
-------------------------------------------
| curriculum/                |            |
|    stage                   | 2          |
|    window_cost             | 0.3        |
